# Revision 0.1,25-Oct-18,Initial release,,,,,,,,,
# Revision 1.01,18-Apr-19,Update the QFN72 package with pin 73 as ePAD,,,,,,,,,
,,,,,,,,,,,
PAD,Pin/Ball Function,BANK,Dual Function,Differential,High Speed,,I/O Grouping,QFN72,CABGA256,CABGA400,CABGA484
37,PL7D,5,-,Comp_OF_PL7C,-,,4,-,G6,F1,H3
38,PL10A,5,-,True_OF_PL10B,-,,4,-,-,G4,H2
39,GND,-,-,-,-,,-,-,-,-,-
40,PL10B,5,-,Comp_OF_PL10A,-,,4,-,-,G3,H1
41,PL10C,5,-,True_OF_PL10D,-,,4,-,G5,H3,J7
42,VCCIO5,5,-,-,-,,-,-,-,-,-
43,PL10D,5,-,Comp_OF_PL10C,-,,4,-,G4,H4,J6
44,PL11A,5,-,True_OF_PL11B,-,,4,-,F3,G2,H5
45,GND,-,-,-,-,,-,-,-,-,-
46,PL11B,5,-,Comp_OF_PL11A,-,,5,-,F1,G1,J5
47,PL11C,5,-,True_OF_PL11D,-,,5,-,-,J6,J4
48,VCC,-,-,-,-,,-,-,-,-,-
49,PL11D,5,-,Comp_OF_PL11C,-,,5,-,-,J5,J3
50,PL12A,5,-,True_OF_PL12B,-,,5,-,G2,H2,J2
51,VCC,-,-,-,-,,-,-,-,-,-
52,PL12B,5,-,Comp_OF_PL12A,-,,5,-,G3,H1,J1
53,PL12C,5,-,True_OF_PL12D,-,,5,-,F5,J4,K7
54,VCCIO5,5,-,-,-,,-,-,-,-,-
55,PL12D,5,-,Comp_OF_PL12C,-,,5,-,H6,J3,K6
56,PL13A,4,-,True_OF_PL13B,-,,5,-,G1,J2,L7
57,VCCIO4,4,-,-,-,,-,-,-,-,-
58,PL13B,4,-,Comp_OF_PL13A,-,,5,-,H2,J1,K5
59,PL13C,4,-,True_OF_PL13D,-,,5,-,H4,K5,K4
60,GND,-,-,-,-,,-,-,-,-,-
61,PL13D,4,-,Comp_OF_PL13C,-,,6,-,J6,K4,K3
62,PL14A,4,-,True_OF_PL14B,-,,6,-,H3,K2,K2
63,VCCIO4,4,-,-,-,,-,-,-,-,-
64,NC,-,-,-,-,,-,-,-,-,-
65,PL14C,4,-,True_OF_PL14D,-,,6,-,-,K6,L6
66,VCC,-,-,-,-,,-,-,-,-,-
67,PL14B,4,-,Comp_OF_PL14A,-,,6,-,H1,K1,K1
68,PL14D,4,-,Comp_OF_PL14C,-,,6,-,-,K7,L5
69,GND,-,-,-,-,,-,-,-,-,-
70,PL16A,4,PCLKT4_0,True_OF_PL16B,-,,7,-,J1,L1,L1
71,PL16B,4,PCLKC4_0,Comp_OF_PL16A,-,,7,-,J3,L2,M2
72,PL16C,4,-,True_OF_PL16D,-,,7,-,-,L3,L3
73,NC,-,-,-,-,,-,-,-,-,-
74,PL16D,4,-,Comp_OF_PL16C,-,,7,-,-,L4,L4
75,PL17A,4,-,True_OF_PL17B,-,,7,-,J2,M1,M1
76,VCCIO4,4,-,-,-,,-,-,-,-,-
77,PL17B,4,-,Comp_OF_PL17A,-,,7,-,K1,M2,N1
