# Revision 0.1,25-Oct-18,Initial release,,,,,,,,,
# Revision 1.01,18-Apr-19,Update the QFN72 package with pin 73 as ePAD,,,,,,,,,
,,,,,,,,,,,
PAD,Pin/Ball Function,BANK,Dual Function,Differential,High Speed,,I/O Grouping,QFN72,CABGA256,CABGA400,CABGA484
402,PR12A,1,-,True_OF_PR12B,-,,36,45,G15,H18,J21
403,PR11D,1,-,Comp_OF_PR11C,-,,36,-,-,G20,J19
404,VCCIO1,1,-,-,-,,-,-,-,-,-
405,PR11B,1,-,Comp_OF_PR11A,-,,36,-,-,H17,J17
406,PR11C,1,-,True_OF_PR11D,-,,36,-,-,H16,J18
407,GND,-,-,-,-,,-,-,-,-,-
408,PR11A,1,-,True_OF_PR11B,-,,37,-,-,G19,J16
409,PR10D,1,-,Comp_OF_PR10C,-,,37,-,G13,J15,H16
410,VCC,-,-,-,-,,-,-,-,-,-
411,PR10B,1,-,Comp_OF_PR10A,-,,37,-,-,-,H18
412,PR10C,1,-,True_OF_PR10D,-,,37,-,F12,J14,H17
413,VCC,-,-,-,-,,-,-,-,-,-
414,PR10A,1,-,True_OF_PR10B,-,,37,-,-,-,H19
415,PR7D,1,-,Comp_OF_PR7C,-,,37,-,-,-,H20
416,GND,-,-,-,-,,-,-,-,-,-
417,PR7B,1,-,Comp_OF_PR7A,-,,38,-,F16,F20,H21
418,PR7C,1,-,True_OF_PR7D,-,,38,-,-,-,G17
419,VCCIO1,1,-,-,-,,-,-,-,-,-
420,PR7A,1,-,True_OF_PR7B,-,,38,-,F14,F19,H22
421,PR6D,1,-,Comp_OF_PR6C,-,,38,-,G12,E20,G18
422,VCCIO1,1,-,-,-,,-,-,-,-,-
423,PR6B,1,-,Comp_OF_PR6A,-,,38,-,-,F18,G20
424,PR6C,1,-,True_OF_PR6D,-,,38,-,F13,G17,G19
425,VCC,-,-,-,-,,-,-,-,-,-
426,PR6A,1,-,True_OF_PR6B,-,,38,-,-,G16,G21
427,PR5D,1,-,Comp_OF_PR5C,-,,38,-,-,E19,F19
428,VCC,-,-,-,-,,-,-,-,-,-
429,PR5B,1,-,Comp_OF_PR5A,-,,38,-,F15,F17,G22
430,PR5C,1,-,True_OF_PR5D,-,,38,-,-,D20,F18
431,GND,-,-,-,-,,-,-,-,-,-
432,PR5A,1,-,True_OF_PR5B,-,,38,47,E16,D19,F22
433,PR4D,1,-,Comp_OF_PR4C,-,,38,-,D15,H15,E20
434,GND,-,-,-,-,,-,-,-,-,-
435,PR4B,1,-,Comp_OF_PR4A,-,,39,-,-,C20,E21
436,PR4C,1,-,True_OF_PR4D,-,,39,-,C16,H14,E19
437,VCCIO1,1,-,-,-,,-,-,-,-,-
438,PR4A,1,-,True_OF_PR4B,-,,39,-,-,B20,E22
439,PR3D,1,-,Comp_OF_PR3C,-,,39,-,-,D18,D20
440,VCC,-,-,-,-,,-,-,-,-,-
441,PR3B,1,R_GPLLC_IN,Comp_OF_PR3A,-,,39,49,E14,E17,D21
442,PR3C,1,-,True_OF_PR3D,-,,39,-,-,F16,D19
443,GND,-,-,-,-,,-,-,-,-,-
444,PR3A,1,R_GPLLT_IN,True_OF_PR3B,-,,40,50,D16,C19,D22
445,PR2D,1,-,Comp_OF_PR2C,-,,40,-,B16,G15,G16
446,VCCIO1,1,-,-,-,,-,-,-,-,-
447,PR2B,1,R_GPLLC_FB,Comp_OF_PR2A,-,,40,52,E15,C18,C22
448,PR2C,1,-,True_OF_PR2D,-,,40,51,C15,F15,F17
449,GND,-,-,-,-,,-,-,-,-,-
450,PR2A,1,R_GPLLT_FB,True_OF_PR2B,-,,41,53,D14,D17,C21
451,NC,-,-,-,-,,-,-,-,-,-
452,VCC,-,-,-,-,,-,-,-,-,-
453,PT44B,0,-,Comp_OF_PT44A,TRUE,,41,-,A15,A20,B22
454,GND,-,-,-,-,,-,-,-,-,-
455,NC,-,-,-,-,,-,-,-,-,-
456,PT44D,0,DONE,Comp_OF_PT44C,-,,42,54,C13,A19,E17
457,PT44A,0,-,True_OF_PT44B,TRUE,,42,-,B14,B19,A21
458,VCCIO0,0,-,-,-,,-,-,-,-,-
459,PT44C,0,INITN,True_OF_PT44D,-,,42,55,A13,C17,F16
460,PT43D,0,-,Comp_OF_PT43C,-,,42,-,-,F14,C20
461,GND,-,-,-,-,,-,-,-,-,-
462,NC,-,-,-,-,,-,-,-,-,-
463,PT43B,0,-,Comp_OF_PT43A,TRUE,,43,-,B12,D16,B21
464,PT43C,0,-,True_OF_PT43D,-,,43,-,-,G14,C19
465,VCC,-,-,-,-,,-,-,-,-,-
466,PT43A,0,-,True_OF_PT43B,TRUE,,43,-,C12,E15,A20
467,PT42B,0,-,Comp_OF_PT42A,TRUE,,43,-,A14,B18,B20
468,VCC,-,-,-,-,,-,-,-,-,-
469,NC,-,-,-,-,,-,-,-,-,-
470,PT42D,0,-,Comp_OF_PT42C,-,,43,-,-,D15,G15
471,PT42A,0,-,True_OF_PT42B,TRUE,,43,-,B13,A18,A19
472,VCCIO0,0,-,-,-,,-,-,-,-,-
473,PT42C,0,-,True_OF_PT42D,-,,43,-,-,E14,F15
474,PT41D,0,-,Comp_OF_PT41C,-,,43,-,-,F13,D18
475,GND,-,-,-,-,,-,-,-,-,-
476,PT41B,0,-,Comp_OF_PT41A,TRUE,,43,-,A12,C16,B19
477,PT41C,0,-,True_OF_PT41D,-,,43,-,-,G13,C18
478,GND,-,-,-,-,,-,-,-,-,-
479,PT41A,0,-,True_OF_PT41B,TRUE,,44,-,B11,C15,A18
480,PT40D,0,-,Comp_OF_PT40C,-,,44,-,-,-,D17
481,VCCIO0,0,-,-,-,,-,-,-,-,-
482,PT40B,0,-,Comp_OF_PT40A,TRUE,,44,-,-,-,B18
483,PT40C,0,-,True_OF_PT40D,-,,44,-,-,-,E16
484,NC,-,-,-,-,,-,-,-,-,-
485,GND,-,-,-,-,,-,-,-,-,-
486,PT40A,0,-,True_OF_PT40B,TRUE,,45,-,-,-,A17
487,PT39B,0,-,Comp_OF_PT39A,TRUE,,45,56,D11,B17,B17
488,VCC,-,-,-,-,,-,-,-,-,-
489,PT39D,0,-,Comp_OF_PT39C,-,,45,-,-,D14,D16
490,PT39A,0,-,True_OF_PT39B,TRUE,,45,57,F10,A17,A16
491,NC,-,-,-,-,,-,-,-,-,-
492,VCCIO0,0,-,-,-,,-,-,-,-,-
493,PT39C,0,-,True_OF_PT39D,-,,45,-,-,C14,C17
494,PT38D,0,-,Comp_OF_PT38C,-,,45,-,-,F12,D15
495,GND,-,-,-,-,,-,-,-,-,-
496,PT38B,0,-,Comp_OF_PT38A,TRUE,,46,58,C11,B16,B15
497,PT38C,0,-,True_OF_PT38D,-,,46,-,-,G12,C15
498,VCCIO0,0,-,-,-,,-,-,-,-,-
499,PT38A,0,-,True_OF_PT38B,TRUE,,46,59,A11,A16,A15
500,PT31B,0,-,Comp_OF_PT31A,TRUE,,46,-,E10,B15,F14
501,GND,-,-,-,-,,-,-,-,-,-
502,NC,-,-,-,-,,-,-,-,-,-
503,PT31D,0,PROGRAMN,Comp_OF_PT31C,-,,46,61,B10,D13,E15
504,PT31A,0,-,True_OF_PT31B,TRUE,,46,-,D10,A15,G14
505,VCC,-,-,-,-,,-,-,-,-,-
506,PT31C,0,JTAGENB,True_OF_PT31D,-,,46,62,C10,C13,E14
507,NC,-,-,-,-,,-,-,-,-,-
508,PT30D,0,-,Comp_OF_PT30C,-,,46,-,-,-,D14
509,VCC,-,-,-,-,,-,-,-,-,-
510,PT30B,0,-,Comp_OF_PT30A,TRUE,,46,-,-,C12,B14
511,PT30C,0,-,True_OF_PT30D,-,,46,-,-,-,C14
512,GND,-,-,-,-,,-,-,-,-,-
513,PT30A,0,-,True_OF_PT30B,TRUE,,47,-,-,D12,A14
514,PT29B,0,-,Comp_OF_PT29A,TRUE,,47,-,E11,B14,B13
515,VCCIO0,0,-,-,-,,-,-,-,-,-
516,PT29D,0,-,Comp_OF_PT29C,-,,47,-,-,-,D13
517,PT29A,0,-,True_OF_PT29B,TRUE,,47,-,F9,A14,A13
518,VCCIO0,0,-,-,-,,-,-,-,-,-
519,PT29C,0,-,True_OF_PT29D,-,,47,-,-,-,C13
520,PT28D,0,-,Comp_OF_PT28C,-,,47,-,-,F11,F13
521,GND,-,-,-,-,,-,-,-,-,-
522,NC,-,-,-,-,,-,-,-,-,-
523,PT28B,0,-,Comp_OF_PT28A,TRUE,,48,63,A10,B13,F12
524,PT28C,0,-,True_OF_PT28D,-,,48,-,-,G11,E13
525,VCCIO0,0,-,-,-,,-,-,-,-,-
526,PT28A,0,-,True_OF_PT28B,TRUE,,48,65,B9,A13,G12
527,PT27B,0,-,Comp_OF_PT27A,TRUE,,48,-,D9,B12,E12
528,GND,-,-,-,-,,-,-,-,-,-
529,NC,-,-,-,-,,-,-,-,-,-
530,PT27D,0,SDA/PCLKC0_0,Comp_OF_PT27C,-,,49,66,C9,D11,A12
531,PT27A,0,-,True_OF_PT27B,TRUE,,49,-,F8,A12,D12
532,VCC,-,-,-,-,,-,-,-,-,-
533,PT27C,0,SCL/PCLKT0_0,True_OF_PT27D,-,,49,67,A9,C11,B12
534,NC,-,-,-,-,,-,-,-,-,-
535,PT24B,0,-,Comp_OF_PT24A,TRUE,,49,-,E9,A11,A11
536,GND,-,-,-,-,,-,-,-,-,-
537,NC,-,-,-,-,,-,-,-,-,-
538,PT24D,0,-,Comp_OF_PT24C,-,,50,-,-,C10,D11
539,PT24A,0,-,True_OF_PT24B,TRUE,,50,-,D8,B11,B11
540,VCCIO0,0,-,-,-,,-,-,-,-,-
541,PT24C,0,-,True_OF_PT24D,-,,50,-,-,D10,E11
542,PT23D,0,-,Comp_OF_PT23C,-,,50,-,-,F10,F11
543,VCC,-,-,-,-,,-,-,-,-,-
544,NC,-,-,-,-,,-,-,-,-,-
545,PT23B,0,PCLKC0_1,Comp_OF_PT23A,TRUE,,50,68,A8,A10,A10
546,PT23C,0,-,True_OF_PT23D,-,,50,-,-,G10,G11
547,GND,-,-,-,-,,-,-,-,-,-
548,PT23A,0,PCLKT0_1,True_OF_PT23B,TRUE,,51,69,C8,B10,B10
549,PT22B,0,-,Comp_OF_PT22A,TRUE,,51,-,E8,A9,E10
550,VCCP,-,-,-,-,,-,-,-,-,-
551,NC,-,-,-,-,,-,-,-,-,-
552,PT22D,0,TMS,Comp_OF_PT22C,-,,51,70,B8,D9,C10
553,PT22A,0,-,True_OF_PT22B,TRUE,,51,-,F7,B9,F10
554,VCCIO0,0,-,-,-,,-,-,-,-,-
555,PT22C,0,TCK,True_OF_PT22D,-,,51,71,A7,C9,D10
556,NC,-,-,-,-,,-,-,-,-,-
557,PT21B,0,-,Comp_OF_PT21A,TRUE,,51,-,D7,A8,A9
558,VCC,-,-,-,-,,-,-,-,-,-
559,PT21D,0,-,Comp_OF_PT21C,-,,51,-,-,C8,G9
560,PT21A,0,-,True_OF_PT21B,TRUE,,51,-,E6,B8,B9
561,GND,-,-,-,-,,-,-,-,-,-
562,NC,-,-,-,-,,-,-,-,-,-
563,PT21C,0,-,True_OF_PT21D,-,,52,-,-,D8,F9
564,PT20D,0,-,Comp_OF_PT20C,-,,52,-,-,F9,D9
565,VCCIO0,0,-,-,-,,-,-,-,-,-
566,PT20B,0,-,Comp_OF_PT20A,TRUE,,52,-,C7,A7,A8
567,PT20C,0,-,True_OF_PT20D,-,,52,-,-,G9,C9
568,VCC,-,-,-,-,,-,-,-,-,-
569,PT20A,0,-,True_OF_PT20B,TRUE,,52,-,B7,B7,B8
570,PT15B,0,-,Comp_OF_PT15A,TRUE,,52,-,E7,A6,D8
571,GND,-,-,-,-,,-,-,-,-,-
572,NC,-,-,-,-,,-,-,-,-,-
573,PT15D,0,TDI,Comp_OF_PT15C,-,,53,1,A6,C7,E9
574,PT15A,0,-,True_OF_PT15B,TRUE,,53,-,D6,B6,C8
575,VCCIO0,0,-,-,-,,-,-,-,-,-
576,PT15C,0,TDO,True_OF_PT15D,-,,53,2,C6,E8,E8
577,NC,-,-,-,-,,-,-,-,-,-
578,PT14D,0,-,Comp_OF_PT14C,-,,53,-,-,F8,D7
579,VCC,-,-,-,-,,-,-,-,-,-
580,PT14B,0,-,Comp_OF_PT14A,TRUE,,53,-,-,A5,A7
581,PT14C,0,-,True_OF_PT14D,-,,53,-,-,G8,C6
582,GND,-,-,-,-,,-,-,-,-,-
583,PT14A,0,-,True_OF_PT14B,TRUE,,54,-,-,B5,B6
584,PT13D,0,-,Comp_OF_PT13C,-,,54,-,-,-,E7
585,VCCIO0,0,-,-,-,,-,-,-,-,-
586,PT13B,0,-,Comp_OF_PT13A,TRUE,,54,-,-,-,A6
587,PT13C,0,-,True_OF_PT13D,-,,54,-,-,-,D6
588,GND,-,-,-,-,,-,-,-,-,-
589,NC,-,-,-,-,,-,-,-,-,-
590,PT13A,0,-,True_OF_PT13B,TRUE,,54,-,-,-,B5
591,PT12B,0,-,Comp_OF_PT12A,TRUE,,54,-,B4,A4,A5
592,GND,-,-,-,-,,-,-,-,-,-
593,PT12D,0,-,Comp_OF_PT12C,-,,55,-,-,D7,C5
594,PT12A,0,-,True_OF_PT12B,TRUE,,55,-,A3,B4,B4
595,VCCIO0,0,-,-,-,,-,-,-,-,-
596,NC,-,-,-,-,,-,-,-,-,-
597,PT12C,0,-,True_OF_PT12D,-,,55,-,-,C6,D5
598,PT11D,0,-,Comp_OF_PT11C,-,,55,-,-,E7,G8
599,VCCIO0,0,-,-,-,,-,-,-,-,-
600,PT11B,0,-,Comp_OF_PT11A,TRUE,,55,4,B6,A3,A4
601,PT11C,0,-,True_OF_PT11D,-,,55,-,-,D6,F8
602,VCC,-,-,-,-,,-,-,-,-,-
603,NC,-,-,-,-,,-,-,-,-,-
604,PT11A,0,-,True_OF_PT11B,TRUE,,55,3,A5,B3,B3
605,PT10D,0,-,Comp_OF_PT10C,-,,55,-,-,D5,C4
606,GND,-,-,-,-,,-,-,-,-,-
607,PT10B,0,-,Comp_OF_PT10A,TRUE,,56,-,C5,A2,A3
608,PT10C,0,-,True_OF_PT10D,-,,56,-,-,E6,C3
609,NC,-,-,-,-,,-,-,-,-,-
610,VCCP,-,-,-,-,,-,-,-,-,-
611,PT10A,0,-,True_OF_PT10B,TRUE,,56,-,A4,B2,B2
612,PT9D,0,-,Comp_OF_PT9C,-,,56,-,-,F7,F7
613,VCCIO0,0,-,-,-,,-,-,-,-,-
614,NC,-,-,-,-,,-,-,-,-,-
615,PT9B,0,-,Comp_OF_PT9A,TRUE,,56,-,B5,A1,A2
616,PT9C,0,-,True_OF_PT9D,-,,56,-,B3,G7,E6
617,GND,-,-,-,-,,-,-,-,-,-
618,PT9A,0,-,True_OF_PT9B,TRUE,,0,-,C4,B1,B1
619,VCC,-,-,-,-,,-,-,-,-,-
0,NC,-,-,-,-,,-,-,-,-,-
0,GND,-,-,-,-,,-,73,R15,E18,A22
0,GND,-,-,-,-,,-,-,R2,G18,AB22
0,GND,-,-,-,-,,-,-,P14,L18,F21
0,GND,-,-,-,-,,-,-,P3,R18,K21
0,GND,-,-,-,-,,-,-,N13,V18,N21
0,GND,-,-,-,-,,-,-,N4,E16,V21
0,GND,-,-,-,-,,-,-,M12,U16,E18
0,GND,-,-,-,-,,-,-,M5,T15,L18
0,GND,-,-,-,-,,-,-,L11,E13,B16
0,GND,-,-,-,-,,-,-,L6,U13,Y16
0,GND,-,-,-,-,,-,-,J9,E12,H15
0,GND,-,-,-,-,,-,-,J8,E11,R15
0,GND,-,-,-,-,,-,-,H9,K11,J14
0,GND,-,-,-,-,,-,-,H8,L11,K14
0,GND,-,-,-,-,,-,-,F11,M11,L14
0,GND,-,-,-,-,,-,-,F6,V11,M14
0,GND,-,-,-,-,,-,-,E12,E10,N14
0,GND,-,-,-,-,,-,-,E5,K10,P14
0,GND,-,-,-,-,,-,-,D13,L10,H13
0,GND,-,-,-,-,,-,-,D4,E9,J13
0,GND,-,-,-,-,,-,-,C14,L8,L13
0,GND,-,-,-,-,,-,-,C3,U8,M13
0,GND,-,-,-,-,,-,-,B15,N7,P13
0,GND,-,-,-,-,,-,-,B2,U7,J12
0,GND,-,-,-,-,,-,-,-,V7,P12
0,GND,-,-,-,-,,-,-,-,C5,W12
0,GND,-,-,-,-,,-,-,-,E5,C11
0,GND,-,-,-,-,,-,-,-,H5,J11
0,GND,-,-,-,-,,-,-,-,V5,P11
0,GND,-,-,-,-,,-,-,-,D4,H10
0,GND,-,-,-,-,,-,-,-,D3,J10
0,GND,-,-,-,-,,-,-,-,K3,L10
0,GND,-,-,-,-,,-,-,-,U3,M10
0,GND,-,-,-,-,,-,-,-,-,P10
0,GND,-,-,-,-,,-,-,-,-,J9
0,GND,-,-,-,-,,-,-,-,-,K9
0,GND,-,-,-,-,,-,-,-,-,L9
0,GND,-,-,-,-,,-,-,-,-,M9
0,GND,-,-,-,-,,-,-,-,-,N9
0,GND,-,-,-,-,,-,-,-,-,P9
0,GND,-,-,-,-,,-,-,-,-,H8
0,GND,-,-,-,-,,-,-,-,-,R8
0,GND,-,-,-,-,,-,-,-,-,B7
0,GND,-,-,-,-,,-,-,-,-,Y7
0,GND,-,-,-,-,,-,-,-,-,E5
0,GND,-,-,-,-,,-,-,-,-,M4
0,GND,-,-,-,-,,-,-,-,-,C2
0,GND,-,-,-,-,,-,-,-,-,F2
0,GND,-,-,-,-,,-,-,-,-,L2
0,GND,-,-,-,-,,-,-,-,-,V2
0,GND,-,-,-,-,,-,-,-,-,A1
0,GND,-,-,-,-,,-,-,-,-,AB1
0,GND,-,-,-,-,,-,-,-,-,-
0,GND,-,-,-,-,,-,-,-,-,-
0,VCC,-,-,-,-,,-,5,T16,H13,K13
0,VCC,-,-,-,-,,-,29,T1,H12,N13
0,VCC,-,-,-,-,,-,46,K10,K12,K12
0,VCC,-,-,-,-,,-,-,K7,L12,L12
0,VCC,-,-,-,-,,-,-,G10,M12,M12
0,VCC,-,-,-,-,,-,-,G7,J11,N12
0,VCC,-,-,-,-,,-,-,A16,J10,K11
0,VCC,-,-,-,-,,-,-,A1,M10,L11
0,VCC,-,-,-,-,,-,-,-,J9,M11
0,VCC,-,-,-,-,,-,-,-,L9,N11
0,VCC,-,-,-,-,,-,-,-,-,K10
0,VCC,-,-,-,-,,-,-,-,-,N10
0,VCC,-,-,-,-,,-,-,-,-,-
0,VCC,-,-,-,-,,-,-,-,-,-
0,VCCIO0,0,-,-,-,,-,60,G8,J12,C16
0,VCCIO0,0,-,-,-,,-,64,D12,H11,H14
0,VCCIO0,0,-,-,-,,-,72,D5,H10,G13
0,VCCIO0,0,-,-,-,,-,-,G9,H9,C12
0,VCCIO0,0,-,-,-,,-,-,-,H8,H12
0,VCCIO0,0,-,-,-,,-,-,-,-,H11
0,VCCIO0,0,-,-,-,,-,-,-,-,G10
0,VCCIO0,0,-,-,-,,-,-,-,-,H9
0,VCCIO0,0,-,-,-,,-,-,-,-,C7
0,VCCIO0,0,-,-,-,,-,-,-,-,-
0,VCCIO0,0,-,-,-,,-,-,-,-,-
0,VCCIO0,0,-,-,-,,-,-,-,-,-
0,VCCIO1,1,-,-,-,,-,39,M13,J13,F20
0,VCCIO1,1,-,-,-,,-,42,J10,K13,V20
0,VCCIO1,1,-,-,-,,-,48,H10,L13,M18
0,VCCIO1,1,-,-,-,,-,-,E13,M13,J15
0,VCCIO1,1,-,-,-,,-,-,-,N13,K15
0,VCCIO1,1,-,-,-,,-,-,-,-,L15
0,VCCIO1,1,-,-,-,,-,-,-,-,M15
0,VCCIO1,1,-,-,-,,-,-,-,-,N15
0,VCCIO1,1,-,-,-,,-,-,-,-,P15
0,VCCIO1,1,-,-,-,,-,-,-,-,-
0,VCCIO1,1,-,-,-,,-,-,-,-,-
0,VCCIO1,1,-,-,-,,-,-,-,-,-
0,VCCIO2,2,-,-,-,,-,18,N12,N12,W16
0,VCCIO2,2,-,-,-,,-,25,N5,N11,R14
0,VCCIO2,2,-,-,-,,-,32,K9,N10,R13
0,VCCIO2,2,-,-,-,,-,-,K8,N9,R12
0,VCCIO2,2,-,-,-,,-,-,-,N8,R11
0,VCCIO2,2,-,-,-,,-,-,-,-,W11
0,VCCIO2,2,-,-,-,,-,-,-,-,R10
0,VCCIO2,2,-,-,-,,-,-,-,-,R9
0,VCCIO2,2,-,-,-,,-,-,-,-,W7
0,VCCIO2,2,-,-,-,,-,-,-,-,-
0,VCCIO2,2,-,-,-,,-,-,-,-,-
0,VCCIO2,2,-,-,-,,-,-,-,-,-
0,VCCIO3,3,-,-,-,,-,15,M4,M9,N8
0,VCCIO3,3,-,-,-,,-,-,-,M8,P8
0,VCCIO3,3,-,-,-,,-,-,-,-,V3
0,VCCIO3,3,-,-,-,,-,-,-,-,-
0,VCCIO4,4,-,-,-,,-,-,J7,K9,L8
0,VCCIO4,4,-,-,-,,-,-,H7,K8,M8
0,VCCIO4,4,-,-,-,,-,-,-,-,M3
0,VCCIO4,4,-,-,-,,-,-,-,-,-
0,VCCIO4,4,-,-,-,,-,-,-,-,-
0,VCCIO5,5,-,-,-,,-,-,E4,J8,J8
0,VCCIO5,5,-,-,-,,-,-,-,J7,K8
0,VCCIO5,5,-,-,-,,-,-,-,-,F3
0,VCCIO5,5,-,-,-,,-,-,-,-,-
0,NC,0,-,-,-,,-,-,A2,-,-
0,NC,0,-,-,-,,-,-,-,-,-
0,NC,0,-,-,-,,-,-,-,-,-
0,NC,0,-,-,-,,-,-,-,-,-
0,NC,0,-,-,-,,-,-,-,-,-
