# Revision 1.0,15-Feb-19,Initial release,,,,,,,
# Revision 1.01,18-Apr-19,Update QFN72 package with pin 73 as ePAD ground,,,,,,,
# Revision 1.02,30-May-19,Update with dual function as I3C,,,,,,,
,,,,,,,,,
PAD,Pin/Ball Function,Bank,Dual Function,Differential,High Speed,,I/O Grouping,QFN72,CABGA256
447,PT13A,0,-,True_OF_PT13B,TRUE,,+,-,D6
448,VCCIO0,0,-,-,-,,+,-,-
449,PT13C,0,TDO,True_OF_PT13D,-,,+,2,C6
450,NC,-,-,-,-,,+,-,-
451,PT12B,0,-,Comp_OF_PT12A,TRUE,,+,-,B4
452,GND,-,-,-,-,,-,-,-
453,NC,-,-,-,-,,-,-,-
454,PT12D,0,-,Comp_OF_PT12C,-,,-,-,-
455,PT12A,0,-,True_OF_PT12B,TRUE,,-,-,A3
456,GND,-,-,-,-,,+,-,-
457,PT12C,0,-,True_OF_PT12D,-,,+,-,-
458,NC,-,-,-,-,,+,-,-
459,PT11D,0,-,Comp_OF_PT11C,-,,+,-,-
460,VCCIO0,0,-,-,-,,+,-,-
461,PT11B,0,-,Comp_OF_PT11A,TRUE,,+,4,B6
462,PT11C,0,-,True_OF_PT11D,-,,+,-,-
463,VCC,-,-,-,-,,+,-,-
464,NC,-,-,-,-,,+,-,-
465,PT11A,0,-,True_OF_PT11B,TRUE,,+,3,A5
466,PT10D,0,-,Comp_OF_PT10C,-,,+,-,-
467,GND,-,-,-,-,,-,-,-
468,PT10B,0,-,Comp_OF_PT10A,TRUE,,-,-,C5
469,PT10C,0,-,True_OF_PT10D,-,,-,-,-
470,NC,-,-,-,-,,-,-,-
471,NC,-,-,-,-,,-,-,-
472,PT10A,0,-,True_OF_PT10B,TRUE,,-,-,A4
473,PT9D,0,-,Comp_OF_PT9C,-,,-,-,-
474,VCCIO0,0,-,-,-,,-,-,-
475,NC,-,-,-,-,,-,-,-
476,PT9B,0,-,Comp_OF_PT9A,TRUE,,-,-,B5
477,PT9C,0,-,True_OF_PT9D,-,,-,-,B3
478,GND,-,-,-,-,,+,-,-
479,PT9A,0,-,True_OF_PT9B,TRUE,,+,-,C4
480,VCC,-,-,-,-,,+,-,-
0,GND,-,-,-,-,,-,73,R15
0,GND,-,-,-,-,,-,-,R2
0,GND,-,-,-,-,,-,-,P14
0,GND,-,-,-,-,,-,-,P3
0,GND,-,-,-,-,,-,-,N13
0,GND,-,-,-,-,,-,-,N4
0,GND,-,-,-,-,,-,-,M12
0,GND,-,-,-,-,,-,-,M5
0,GND,-,-,-,-,,-,-,L11
0,GND,-,-,-,-,,-,-,L6
0,GND,-,-,-,-,,-,-,J9
0,GND,-,-,-,-,,-,-,J8
0,GND,-,-,-,-,,-,-,H9
