# Revision 1.0,4/14/2019,Initial release,,,,,,,,,,,
,,,,,,,,,,,,,
LCMXO3D-4300,,,,,,,,LCMXO3D-9400,,,,,
Pin Number,Pin Function,Bank,Dual Function,Differential,True LVDS,,,Pin Number,Pin Function,Bank,Dual Function,Differential,True LVDS
F9,PT22A,0,-,True_OF_PT22B,TRUE,,,F9,PT29A,0,-,True_OF_PT29B,TRUE
G1,PL9A,4,-,True_OF_PL9B,-,,,G1,PL13A,4,-,True_OF_PL13B,-
G10,VCC,-,-,-,-,,,G10,VCC,-,-,-,-
G11,PR8C,1,-,True_OF_PR8D,-,,,G11,PR14C,1,-,True_OF_PR14D,-
G12,PR5D,1,-,Comp_OF_PR5C,-,,,G12,PR6D,1,-,Comp_OF_PR6C,-
G13,PR6D,1,-,Comp_OF_PR6C,-,,,G13,PR10D,1,-,Comp_OF_PR10C,-
G14,PR8B,1,-,Comp_OF_PR8A,-,,,G14,PR12B,1,-,Comp_OF_PR12A,-
G15,PR8A,1,-,True_OF_PR8B,-,,,G15,PR12A,1,-,True_OF_PR12B,-
G16,PR9A,1,-,True_OF_PR9B,-,,,G16,PR16A,1,-,True_OF_PR16B,-
G2,PL8A,5,-,True_OF_PL8B,-,,,G2,PL12A,5,-,True_OF_PL12B,-
G3,PL8B,5,-,Comp_OF_PL8A,-,,,G3,PL12B,5,-,Comp_OF_PL12A,-
G4,PL7D,5,-,Comp_OF_PL7C,-,,,G4,PL10D,5,-,Comp_OF_PL10C,-
G5,PL7C,5,-,True_OF_PL7D,-,,,G5,PL10C,5,-,True_OF_PL10D,-
G6,PL6D,5,-,Comp_OF_PL6C,-,,,G6,PL7D,5,-,Comp_OF_PL7C,-
G7,VCC,-,-,-,-,,,G7,VCC,-,-,-,-
G8,VCCIO0,0,-,-,-,,,G8,VCCIO0,0,-,-,-
G9,VCCIO0,0,-,-,-,,,G9,VCCIO0,0,-,-,-
H1,PL10B,4,-,Comp_OF_PL10A,-,,,H1,PL14B,4,-,Comp_OF_PL14A,-
H10,VCCIO1,1,-,-,-,,,H10,VCCIO1,1,-,-,-
H11,PR13C,1,-,True_OF_PR13D,-,,,H11,PR19C,1,-,True_OF_PR19D,-
H12,PR8D,1,-,Comp_OF_PR8C,-,,,H12,PR14D,1,-,Comp_OF_PR14C,-
H13,PR9C,1,-,True_OF_PR9D,-,,,H13,PR16C,1,-,True_OF_PR16D,-
H14,PR10A,1,PCLKT1_0,True_OF_PR10B,-,,,H14,PR17A,1,PCLKT1_0,True_OF_PR17B,-
H15,PR9B,1,-,Comp_OF_PR9A,-,,,H15,PR16B,1,-,Comp_OF_PR16A,-
H16,PR10B,1,PCLKC1_0,Comp_OF_PR10A,-,,,H16,PR17B,1,PCLKC1_0,Comp_OF_PR17A,-
H2,PL9B,4,-,Comp_OF_PL9A,-,,,H2,PL13B,4,-,Comp_OF_PL13A,-
H3,PL10A,4,-,True_OF_PL10B,-,,,H3,PL14A,4,-,True_OF_PL14B,-
H4,PL9C,4,-,True_OF_PL9D,-,,,H4,PL13C,4,-,True_OF_PL13D,-
H5,PL13C,4,-,True_OF_PL13D,-,,,H5,PL17C,4,-,True_OF_PL17D,-
H6,PL8D,5,-,Comp_OF_PL8C,-,,,H6,PL12D,5,-,Comp_OF_PL12C,-
