# Revision 1.0,4/14/2019,Initial release,,,,,,,,,,,
# Revision 1.1,4/18/2019,Add the ePAD ground pin,,,,,,,,,,,
,,,,,,,,,,,,,
LCMXO3D-4300,,,,,,,,LCMXO3D-9400,,,,,
Pin Number,Pin Function,Bank,Dual Function,Differential,True LVDS,,,Pin Number,Pin Function,Bank,Dual Function,Differential,True LVDS
24,PB13B,2,PCLKC2_0,Comp_OF_PB13A,-,,,24,PB22B,2,PCLKC2_0,Comp_OF_PB22A,-
25,VCCIO2,2,-,-,-,,,25,VCCIO2,2,-,-,-
26,PB20A,2,PCLKT2_1,True_OF_PB20B,-,,,26,PB29A,2,PCLKT2_1,True_OF_PB29B,-
27,PB20B,2,PCLKC2_1,Comp_OF_PB20A,-,,,27,PB29B,2,PCLKC2_1,Comp_OF_PB29A,-
28,PB23C,2,-,True_OF_PB23D,-,,,28,PB32A,2,-,True_OF_PB32B,-
29,VCC,-,-,-,-,,,29,VCC,-,-,-,-
30,PB24A,2,-,True_OF_PB24B,-,,,30,PB35A,2,-,True_OF_PB35B,-
31,PB24B,2,-,Comp_OF_PB24A,-,,,31,PB35B,2,-,Comp_OF_PB35A,-
32,VCCIO2,2,-,-,-,,,32,VCCIO2,2,-,-,-
33,PB26A,2,-,True_OF_PB26B,-,,,33,PB41A,2,-,True_OF_PB41B,-
34,PB26B,2,-,Comp_OF_PB26A,-,,,34,PB41B,2,-,Comp_OF_PB41A,-
35,PB30A,2,SN,True_OF_PB30B,-,,,35,PB46A,2,SN,True_OF_PB46B,-
36,PB30B,2,SI/SISPI,Comp_OF_PB30A,-,,,36,PB46B,2,SI/SISPI,Comp_OF_PB46A,-
37,PR18A,1,-,True_OF_PR18B,-,,,37,PR28A,1,-,True_OF_PR28B,-
38,PR15B,1,-,Comp_OF_PR15A,-,,,38,PR21B,1,-,Comp_OF_PR21A,-
39,VCCIO1,1,-,-,-,,,39,VCCIO1,1,-,-,-
40,PR15A,1,-,True_OF_PR15B,-,,,40,PR21A,1,-,True_OF_PR21B,-
41,PR10B,1,PCLKC1_0,Comp_OF_PR10A,-,,,41,PR17B,1,PCLKC1_0,Comp_OF_PR17A,-
42,VCCIO1,1,-,-,-,,,42,VCCIO1,1,-,-,-
43,PR10A,1,PCLKT1_0,True_OF_PR10B,-,,,43,PR17A,1,PCLKT1_0,True_OF_PR17B,-
44,PR8B,1,-,Comp_OF_PR8A,-,,,44,PR12B,1,-,Comp_OF_PR12A,-
45,PR8A,1,-,True_OF_PR8B,-,,,45,PR12A,1,-,True_OF_PR12B,-
46,VCC,-,-,-,-,,,46,VCC,-,-,-,-
47,PR5A,1,-,True_OF_PR5B,-,,,47,PR5A,1,-,True_OF_PR5B,-
48,VCCIO1,1,-,-,-,,,48,VCCIO1,1,-,-,-
49,PR3B,1,R_GPLLC_IN,Comp_OF_PR3A,-,,,49,PR3B,1,R_GPLLC_IN,Comp_OF_PR3A,-
50,PR3A,1,R_GPLLT_IN,True_OF_PR3B,-,,,50,PR3A,1,R_GPLLT_IN,True_OF_PR3B,-
51,PR2C,1,-,True_OF_PR2D,-,,,51,PR2C,1,-,True_OF_PR2D,-
